ID,SMILES,Heavy_Atoms
MR_Gen_25,c1ccc(-n2c3ccccc3c3c4c(ccc32)[Se]c2cccc3c2N4c2c4c(cc5c2ccc2ccccc25)-n2c5ccccc5c5cccc(c52)B34)cc1,55
MR_Gen_26,c1ccc2c(c1)B1c3ccccc3N3c4cccc5c4B4c6c-5cccc6-c5c6c(c1c3c54)N2c1cc2ccccc2cc1O6,45
MR_Gen_27,O=P1(c2ccccc2)c2cccc3c2B2c4c(cc5oc6ccccc6c5c41)N(c1ccccc1)c1ccc4c5cc6ccccc6cc5n-3c4c12,52
MR_Gen_28,O=P1(c2ccccc2)c2cccc3c2N2c4c1ccc1c4B(c4ccccc4-1)c1c2c2c(c4ccccc14)N(c1ccccc1)c1ccccc1B32,52
MR_Gen_29,c1ccc2c(c1)B1c3ccccc3-n3c4ccccc4c4ccc(c1c43)N2c1cncc2c1c1ccccc1n2-c1cccc2c1oc1ccccc12,53
MR_Gen_30,O=S1(=O)c2ccccc2N2c3cc4ccccc4c4c3B3c5c(cccc5S4(=O)=O)N4c5cccc6c5B(c5ccccc5-6)c5cc1c2c3c54,50
MR_Gen_31,O=S1(=O)c2ccccc2N2c3cccc4c3B3c5c6c(cc1c52)B1c2ccccc2-c2cccc(c21)N6c1cc2ccccc2c-4c13,47
MR_Gen_32,c1ccc2c(c1)Oc1cc3c4c5c1N2c1ccc2c6c1N5c1c(cc5c7c1B4c1c-3ccc3c4cc8ccccc8c(c4n-7c13)O5)B6c1ccccc1-2,53
MR_Gen_33,c1cc2c3c(c1)-c1c4c5c6c7c1B3c1c-2cccc1N7c1ccc2c3c1B6c1c(cccc1N5c1cc5ccccc5cc1O4)B3c1ccc3occc3c1-2,55
MR_Gen_34,c1ccc(-n2c3ccccc3c3cc4c5c(c32)[Se]c2cccc3c2N5c2c(cc5c6ccccc6n6c5c2B4c2cc4c(cc2-6)oc2ccccc24)O3)cc1,55
MR_Gen_35,c1ccc2c(c1)ccc1oc3cc4[se]c5ccc6c7c5n(c4c4c5ccccc5n(c12)c34)-c1ccc2c3c1B7c1c(ccc4c5cccc(c5n-3c14)[Se]2)O6,54
MR_Gen_36,c1cc2c3c(c1)[Se]c1cccc4c1N3c1c(cc3c5ccccc5n5c3c1B4c1cc3c(cc1-5)oc1ccccc13)O2,42
MR_Gen_37,c1cc2c3c(c1)Sc1cccc4c1N3c1c(c3c5c6c1B4c1cccc4c7ccc8c(c7n-6c14)B5c1c-8cccc1-3)O2,42
MR_Gen_38,c1ccc2c(c1)B1c3ccccc3N3c4ccccc4N(c4ccc5ccccc5c4)c4c5c6c(c1c43)N2c1cccc2c1B6c1c(cccc1-2)O5,52
MR_Gen_39,O=C1c2cccc3c2B2c4c(cc5c6c4N(c4c7c(cc8ccccc48)-c4cccc-5c4B67)c4c2c1cc1ncccc41)N3c1cccc2ccccc12,54
MR_Gen_40,O=S1(=O)c2cccc3c2N2c4c1cc1c5c4B(c4ccccc4N5c4c5c(cc6occc46)-c4ccccc4B15)c1cc4ccccc4c(c12)S3(=O)=O,53
MR_Gen_41,c1ccc2c(c1)B1c3cc4c5c6c3N3c7c8c(cc9c7-n7c%10c3c1c-2cc%10c1cc2ccccc2c(c17)O9)-c1ccc2c3cccc(c3n-5c2c1B86)O4,53
MR_Gen_42,c1cc2c3c(c1)-c1c4c5c6c7c1c1cc8ccccc8c8c9cc%10ccoc%10c(c9n7c18)B6c1cccc6c7ccc-2c(c7n-5c16)B34,47
MR_Gen_43,c1ccc(B2c3ccccc3N3c4ccccc4B4c5ccccc5-n5c6ccccc6c6cc2c3c4c65)cc1,40
MR_Gen_44,c1ccc(N2c3ccc4c5c3N(c3cc6oc7ncccc7c6cc3B5c3cccc5c3N4c3ccccc3[Se]5)c3c2ccc2c3oc3cnccc32)cc1,55
MR_Gen_45,c1ccc(N2c3ccccc3B3c4cccc5c4N(c4cc6ccccc6c2c43)c2c(ccc3c2c2ccccc2n3-c2ccccc2)[Se]5)cc1,51
MR_Gen_46,c1cc2c3c(c1)-c1c4c5c6c7c1B3c1c-2cccc1N7c1cccc2c1B6c1c-2ccnc1N5c1cc2ccccc2cc1O4,45
MR_Gen_47,c1ccc2c(c1)Oc1cccc3c4c5c(ccc4n-2c13)[Se]c1cccc2c1N5c1c3c(cc4ccccc14)-n1c4ccccc4c4cccc(c41)B23,52
MR_Gen_48,c1ccc(N2c3cccc4c3N3c5c2ccc2c5B5c6c-2cccc6-c2c6c7c(c3c25)B4c2ccccc2N7c2ccccc2O6)cc1,48
MR_Gen_49,O=S1(=O)c2ccccc2N2c3ccc4ccccc4c3B3c4ccccc4N4c5cccc6c5B5c7c(c1c2c3c74)-c1cc2ccccc2c-6c15,51
MR_Gen_50,O=S1(=O)c2ccccc2N2c3ccccc3B3c4cc5ccccc5c5c4N4c6c(cc1c2c63)B1c2ccccc2-c2ccc(c4c21)N5c1ccccc1,54
MR_Gen_51,O=S1(=O)c2ccccc2N2c3ccccc3B3c4ccccc4N4c5cccc6c5B5c7c(cccc7-6)Sc6c5c4c3c2c61,44
MR_Gen_52,O=S1(=O)c2ccccc2N2c3cc4ccccc4cc3B3c4cccc5c4N4c6c(ccc7c6B(c6ccccc6-7)c6cc1c2c3c64)B5c1ccccc1,54
MR_Gen_53,c1ccc(N2c3ccccc3B3c4c2ccc2c4N(c4cccc5c4B2c2ccc4ccccc4c2-5)c2ccc4ccc5ccccc5c4c23)cc1,52
MR_Gen_54,O=c1c2ccc3c4c2n2c5c(cc6ccc7ccccc7c6c15)B1c5ccccc5N5c6ccccc6S(=O)(=O)c6cc(c-2c1c65)B4c1ccccc1-3,53
MR_Gen_55,c1ccc2c(c1)[Se]c1cccc3c1N2c1cccc2c1B3c1cc3c(cc1N2c1cccc2c1oc1ccccc12)oc1ncccc13,48
MR_Gen_56,c1ccc(B2c3cccc4c3N3c5c2ccc2c5B(c5ccccc5N2c2ccccc2)c2c3c(cc3ccccc23)S4)cc1,45
MR_Gen_57,c1ccc2c(c1)B1c3c(ccc4c3-n3c5c(cccc5c5cc6ccccc6c1c53)B4c1cccc3ccccc13)N2c1ccc2ccccc2c1,52
MR_Gen_58,c1ccc(B2c3ccccc3N3c4cc5c6c7c4B4c8c(ccc2c83)-c2ccc3c(c24)N7c2c(ccc4c2B6c2c-4cccc2-5)B3c2ccccc2)cc1,54
MR_Gen_59,O=C1c2cccc3c2B2c4c-3cccc4N3c4cccc5c4B4c6c-5cccc6N5c6ccccc6S(=O)(=O)c6c1c2c3c4c65,45
MR_Gen_60,c1ccc(N2c3c4c5c(c6ccccc36)c3cccc6c3n5-c3c(cc5ccccc5c3B4c3ccc4oc5ccccc5c4c32)[Se]6)cc1,49
MR_Gen_61,c1cc2c3c(c1)N(c1ccc4ccccc4c1)c1cc4c5ccccc5n5c4c4c1N3c1c(ccc3c1B4c1c-5cc4oc5ccccc5c4c1-3)[Se]2,52
MR_Gen_62,O=P1(c2ccccc2)c2ccccc2N2c3cccc4c3B3c5c(cccc5N4c4ccccc4)B(c4cccc5ccccc45)c4ccc1c2c43,52
MR_Gen_63,c1ccc2c(c1)Oc1c3c4c5c6c1N2c1ccccc1B6c1cccc2c6ccc7c(c6n-5c12)B4c1c-7cccc1-3,41
MR_Gen_64,c1ccc2c(c1)B1c3cc4c5c6c3N3c7c8c(cc9c7-n7c%10c(cccc%10c%10cc-2c1c3c%107)O9)-c1c(c2c(c3ccoc13)c1cccc(c1n2-5)O4)B86,52
MR_Gen_65,c1ccc(B2c3ccccc3N3c4ccc5ccc6ccccc6c5c4B4c5ccccc5N(c5cccc6ccccc56)c5ccc2c3c54)cc1,52
MR_Gen_66,c1ccc(B2c3cccc4c3B3c5c2cccc5N(c2ccccc2)c2cccc(c23)N4c2ccccc2)cc1,40
MR_Gen_67,O=S1(=O)c2cc3occc3cc2N2c3cccc4c3B3c5c(cccc5N5c6cccc7c6B(c6ccccc6-7)c6cc1c2c3c65)N4c1ccccc1,53
MR_Gen_68,c1ccc2c(c1)B1c3ccc4c5c3N(c3ccccc3B5c3cccc5c3N4c3cccc4c3B5c3cc5ccoc5cc3[Se]4)c3cccc-2c31,51
MR_Gen_69,O=S1(=O)c2cccc3c2N2c4c(cccc4B4c5c2c1cc1c5-n2c5c4cccc5c4ccc5c(c42)B1c1ccccc1-5)B3c1ccccc1,50
MR_Gen_70,O=S1(=O)c2cc3c4c5c2-n2c6c1cccc6c1c6ccccc6c6c(c12)B5c1c(cccc1N4c1c2c(cc4occc14)-c1ccc4ccccc4c1B32)S6,55
MR_Gen_71,O=S1(=O)c2cccc3c2B2c4c(cccc41)N1c4cc5c6c7c4B(c4ccc-3c2c41)c1cccc2c3c4ccccc4c4c(c3n-7c12)B6c1c-5cccc1-4,54
MR_Gen_72,c1ccc(N2c3cc4oc5ccccc5c4nc3B3c4ccccc4N(c4ccc5ccccc5c4)c4cccc2c43)cc1,44
MR_Gen_73,c1ccc(B2c3ccccc3N3c4ccccc4B4c5cnccc5N5c6ccccc6B(c6ccccc6)c6cc2c3c4c65)cc1,47
MR_Gen_74,c1ccc2c(c1)[Se]c1ccc3c4c1N2c1cccc2c1B4c1c(cc4oc5ncccc5c4c1-3)N2c1cccc2c1oc1ccccc12,48
MR_Gen_75,c1ccc(B2c3cccc4c3B3c5c-4cccc5N4c5ccc6ccccc6c5B5c6c4c3c2c2c6-n3c4c5cccc4c4cc5occc5c(c43)O2)cc1,55
MR_Gen_76,O=S1(=O)c2cc3c4c5c2N(c2cccnc21)c1c(ccc2ccccc12)B5c1c(ccc2ccccc12)N4c1cccc2c1B3c1ccccc1-2,51
MR_Gen_77,O=S1(=O)c2cc3c4c5c2-n2c6c1cccc6c1ccc6c(c12)B5c1c(cc2ccccc2c1-6)N4c1cccc2c1B3c1ccccc1-2,47
MR_Gen_78,c1ccc(N2c3ccc4c5c3N3c6c7c(c8c9c6B(c6c3c2cc2ccccc62)c2cccc3c6cccc(c6n-9c23)O8)-c2cccc-4c2B57)cc1,52
MR_Gen_79,c1ccc(-n2c3ccccc3c3c4c5c(cc32)Sc2cccc3c2N5c2c(c5c6c7c2B4c2cccc4c8ccc9c(c8n-7c24)B6c2c-9cccc2-5)O3)cc1,55
MR_Gen_80,c1ccc(B2c3ccccc3N3c4ccc5c6c4B(c4cccc2c43)c2cccc3c2N6c2c4c(cc6c2B5c2ccccc2-6)Oc2ccccc2B34)cc1,55
MR_Gen_81,c1ccc(B2c3ccccc3N3c4cccc5c4B4c6c(ccc2c63)-c2c4c3c(c4ccccc4n3-5)c3oc4ccccc4c23)cc1,47
MR_Gen_82,c1ccc(N2c3cc4ccccc4cc3N3c4ccccc4B4c5ccccc5N5c6cccc7c6B6c8c(cccc8-7)Oc7c6c5c4c3c72)cc1,52
MR_Gen_83,O=S1(=O)c2ccccc2N2c3cc4ccccc4cc3B3c4cccc5c4N4c6c(ccc7c6B(c6cnccc6-7)c6cc1c2c3c64)B5c1ccccc1,54
MR_Gen_84,c1ccc(N2c3cccc4c3N3c5c(cccc52)B2c5cccc6c5N5c7c(cc(c3c72)O4)B2c3cnccc3-c3ccc(c5c32)N6c2ccccc2)cc1,55
MR_Gen_85,c1ccc(B2c3cccc4c3N3c5c2ccc2c5B5c6c-2cccc6-c2c5c3c3c5c2c2cccc6c2n5-c2c(cccc2B43)B6c2ccccc2)cc1,54
MR_Gen_86,c1ccc(N2c3ccccc3B3c4ccccc4N4c5c(ccc2c53)B2c3ccccc3-c3cc5ccccc5c4c32)cc1,44
MR_Gen_87,c1ccc2c(c1)[Se]c1ccnc3c1N2c1cc2oc4ccccc4c2c2c1B3c1cc3c(cc1N2c1cccc2occc12)oc1ccccc13,51
MR_Gen_88,c1ccc(B2c3ccccc3N3c4ccncc4B4c5ccccc5-n5c6ccc7ccccc7c6c6cc2c3c4c65)cc1,44
MR_Gen_89,c1ccc2c(c1)B1c3cc4c5c6c3N3c7c(ccc-2c71)[Se]c1cc2ccccc2c(c13)B6c1cccc2c3cc6occc6c(c3n-5c12)O4,49
MR_Gen_90,c1ccc2c(c1)Oc1cc3c4c5c1N2c1ccc2c6c1N5c1c5c(c7c8c1B4c1c-3ccc3c4cccc(c4n-8c13)O7)-c1cc3ccccc3c-2c1B65,53
MR_Gen_91,c1ccc2c(c1)B1c3ccccc3N3c4ncccc4B4c5cnccc5N5c6c(c-2c1c3c64)B(c1cccc2cnccc12)c1ccc2ccccc2c15,55
MR_Gen_92,O=S1(=O)c2ccccc2N2c3ccc4ccoc4c3B3c4cccc5c4N4c6c(ccc7c6B6c8c(cccc8-7)Sc7c6c4c3c2c71)B5c1ccccc1,54
MR_Gen_93,O=S1(=O)c2cccc3c2N2c4c(cccc4B4c5c2c1cc1c5-n2c5c6c(ccc5c5c7ccccc7cc4c52)-c2ccccc2B16)O3,48
MR_Gen_94,c1ccc(N2c3ccccc3B3c4ccccc4N4c5cccc6c5B(c5ccc2c3c54)c2ncccc2-6)cc1,40
MR_Gen_95,c1cc2c3c(c1)[Se]c1cccc4c1N3c1c(cc3c5ccccc5n5c3c1B4c1cc3c(cc1-5)oc1ccc4ccoc4c13)O2,45
MR_Gen_96,c1ccc(N2c3cc4oc5ccccc5c4cc3B3c4nccc5c4-n4c6c(cccc6c6c7oc8ccccc8c7c2c3c64)[Se]5)cc1,48
MR_Gen_97,c1ccc(B2c3cccc4c3N3c5c2ccc2c5B5c6c-2cccc6N2c6cccc7c6B(c6ccccc6-7)c6cc(c3c5c62)B4c2ccccc2)cc1,54
MR_Gen_98,c1ccc(N2c3ccccc3B3c4cccc5c4N(c4c3c2cc2ccccc42)c2c(ccc3c2c2cccc4c2n3-c2ccccc2O4)[Se]5)cc1,52
MR_Gen_99,c1ccc2c(c1)B1c3ccc4ncccc4c3N3c4c5c(cc(c41)N2c1cccc2ccccc12)-c1cccc2c1B5c1c-2cc2ccccc2c13,52
MR_Gen_100,c1cc2c3c(c1)-c1cccc4c1B3c1c(c3c5c6c1N4c1cccc4c1B6c1c-4cccc1N5c1ccccc1N3c1ccc3ccccc3c1)O2,52
MR_Gen_101,c1cc2c3c(c1)-c1c4c5c6c7c1c1ccccc1n7-c1c(c7oc8ccccc8c7c7ccccc17)B6c1cccc6c7ccc-2c(c7n-5c16)B34,51
MR_Gen_102,O=P1(c2ccccc2)c2cccc3c2B2c4c(ccnc41)N1c4ccccc4B(c4ccccc4)c4cc5c6ccccc6n-3c5c2c41,48
MR_Gen_103,O=S1(=O)c2cc3oc4cccnc4c3cc2N2c3cccc4c3B3c5c-4cccc5N4c5cccc6c5B(c5ccccc5-6)c5cc1c2c3c54,50
MR_Gen_104,c1cc2c3c(c1)B1c4cc5c(cc4N(c4cccc6c4oc4ccccc46)c4cccc(c41)N3c1c(ccc3ccccc13)[Se]2)oc1ncccc15,52
MR_Gen_105,O=S1(=O)c2ccccc2N2c3cnccc3B3c4cc5ccccc5cc4N4c5cccc6c5B5c7c-6cccc7-c6c5c4c3c2c61,47
MR_Gen_106,O=S1(=O)c2ccccc2N2c3cccc4c3B3c5c2c1c1c2c5-n5c6c7c(ccc6c6c8ccccc8c-4c3c65)-c3cccc(c3B27)[Se]1,48
MR_Gen_107,c1ccc(N2c3ccccc3B3c4cccc5c4B4c6c(ccc2c63)N2c3c4c(cc4c3-n3c6c(cccc6c6cccc2c63)O4)N5c2cccnc2)cc1,55
MR_Gen_108,c1cc2c3c(c1)-c1c4c5c(c6ccccc16)c1ccc6c7c1n5-c1c(c-2c2c5c1B7c1c(ccc7c8cccc(c8n-5c17)O2)S6)B34,46
MR_Gen_109,O=C1c2cccc3c2B2c4c1ccnc4N1c4cccc5c4B(c4cc6c(c2c41)N3c1cc2ccoc2cc1S6(=O)=O)c1ccc2ccccc2c1-5,52
MR_Gen_110,c1ccc(N2c3cccc4c3B3c5c2cccc5N2c5cccc6c5B(c5ccccc5-6)c5cc6c(c3c52)N4c2ccccc2O6)cc1,48
MR_Gen_111,O=S1(=O)c2cc3occc3nc2N2c3cnccc3B3c4cccc5c4N4c6c(ccc7c6B(c6cc1c2c3c64)c1ccc2ccc3ccncc3c2c1-7)O5,55
MR_Gen_112,O=S1(=O)c2cc3occc3cc2N2c3cccc4c3B3c5c2c1nc1c5-n2c5c6c(ccc5c5ccc(c3c52)N4c2ccccc2)-c2ccccc2B16,53
MR_Gen_113,c1ccc(B2c3ccccc3N3c4ccncc4B4c5c3c2c2c3c5-n5c6c4cccc6c4cnc6c(c45)B3c3c-6cccc3-2)cc1,47
MR_Gen_114,O=S1(=O)c2cccc3c2N2c4c(ccc5c4B4c6c(cccc6N(c6ccccc6)c6ncc1c2c64)N5c1ccc2ccccc2c1)B3c1ccccc1,54
MR_Gen_115,c1cc2c3c(c1)-c1c4c5c6c7c1B3c1c-2ccc2c3ccc8c(c3n-7c12)B6c1c-8ccc2c1N5c1c(cc3occc3c1O4)S2,45
MR_Gen_116,c1ccc(B2c3ccccc3N3c4ccc5c6c4B4c7c(cccc7N6c6cccc7c6B5c5ccccc5-7)-c5ccc2c3c54)cc1,47
MR_Gen_117,c1cc2c3c(c1)N1c4c5c(c6c7c4B(c4ccc8ccccc8c41)c1cccc4c8c9ccccc9cc(c8n-7c14)O6)-c1cc4ccccc4c-2c1B35,53
MR_Gen_118,O=S1(=O)c2ccccc2N2c3cc4ccccc4cc3B3c4ccccc4N4c5c(cc1c2c53)B1c2ccccc2-c2cc3ccncc3c4c21,51
MR_Gen_119,c1ccc2c(c1)B1c3ccc4ncccc4c3N3c4c5c(cc(c41)N2c1cncc2ccccc12)-c1cccc2c1B5c1c-2cc2ccccc2c13,52
MR_Gen_120,c1ccc2c3c4c(cc2c1)Oc1c2c5c6c7c1N4c1c(ccc4c1B7c1c(ccc7c8c9ccccc9c9c(c8n-6c17)B5c1c-9cc5ccoc5c1S2)O4)[Se]3,55
MR_Gen_121,O=c1c2ccc3c4c2n2c5c(cc6ccccc6c15)B1c5ccccc5N5c6ccccc6S(=O)(=O)c6cc(c-2c1c65)B4c1ccccc1-3,49
MR_Gen_122,O=S1(=O)c2cc3occc3cc2N2c3ccc4c5ccccc5n5c4c3B3c4c2c1cc1c4-n2c4c6c(ccc4c4ccc-5c3c42)-c2ccccc2B16,53
MR_Gen_123,c1ccc(B2c3cccc4c3B3c5c2c2c6c7c5-n5c8c3c-4ccc8c3ccc4c(c35)B7c3c-4ccc4c5cccc(c5n-6c34)O2)cc1,48
MR_Gen_124,c1ccc(N2c3cc4oc5ccccc5c4cc3B3c4cccc5c4N(c4cc6occc6c2c43)c2ccc3ccccc3c2[Se]5)cc1,48
MR_Gen_125,O=P1(c2ccccc2)c2cccc3c2B2c4c-3cccc4N3c4ccccc4B4c5c3c2c1c1c5-n2c3c(cccc3c3cccc4c32)O1,49
MR_Gen_126,c1ccc(N2c3ccccc3B3c4ccccc4N(c4cccc5ccccc45)c4c3c2cc2ccccc42)cc1,41
MR_Gen_127,c1ccc2cc(B3c4ccc5c6c4-n4c7c3cccc7c3cc7ccccc7c(c34)B6c3cc4occc4c4c6ccccc6n-5c34)ccc2c1,51
MR_Gen_128,c1ccc(N2c3ccc4c5c3B3c6c(cccc6N6c7ccccc7Sc7ccc2c3c76)B5c2cc3ccccc3cc2-4)cc1,45
MR_Gen_129,c1ccc(B2c3ccccc3N3c4cc5c6c7c4B(c4cccc2c43)c2cccc3c4ccc8c(c4n-7c23)B6c2c-5cccc2-8)cc1,47
MR_Gen_130,O=S1(=O)c2cccc3c2N2c4c1cc1c5c4B4c6c(cc7ccccc7c6N5c5cccc6c5B1c1ccccc1-6)S(=O)(=O)c1c4c2c(c2ccccc12)[Se]3,55
MR_Gen_131,c1ccc(B2c3cccc4c3B3c5c2cccc5N2c5ccccc5Sc5ccc(c3c52)N4c2ccccn2)cc1,41
MR_Gen_132,O=c1c2cccc3c2n2c4c(cc5ccccc5c14)Oc1c4c5c6c(c1-2)B3c1ccc2ccccc2c1N6c1cccc2c1B5c1c-2cccc1-4,51
MR_Gen_133,c1ccc2c(c1)B1c3cc4c5c6c3-n3c7c(cccc7c7c8ccccc8c-2c1c73)B6c1ccccc1N5c1cc2ccccc2cc1O4,49
MR_Gen_134,c1ccc2c(c1)Oc1cc3c4c5c1N2c1c2c6c(c7ccccc17)c1ccccc1n6-c1ccc6c7ccc8c(c7n-4c6c1B52)B3c1ccccc1-8,52
MR_Gen_135,O=S1(=O)c2cc3occc3cc2N2c3ccc4c5ccccc5n5c4c3B3c4c2c1nc1c4-n2c4c6c(ccc4c4ccc-5c3c42)-c2ccccc2B16,53
MR_Gen_136,O=S1(=O)c2ccccc2N2c3ccccc3B3c4cc5ccccc5cc4N4c5cccc6c5B5c7c-6cccc7-c6c5c4c3c2c61,47
MR_Gen_137,O=S1(=O)c2ccccc2N2c3cncc4c3B3c5c6c7c(c1c52)-c1cccc2c1B7c1c-2cccc1N6c1cc2ccccc2c(c13)N4c1ccccc1,54
MR_Gen_138,c1ccc2c(c1)B1c3cc4c5c6c3N(c3cccc-2c31)c1cccc2c1B6c1c-2c2oc3ccccc3c2c2c3cccc(c3n-5c12)O4,48
MR_Gen_139,O=S1(=O)c2cc3c4c5c2N(c2ccccc2B5c2c(ccc5cc6ccccc6cc25)N4c2cccc4c2B3c2ccccc2-4)c2cccnc21,51
MR_Gen_140,c1cc2c3c(c1)[Se]c1c4c5c(c6ccccc16)-c1c6c(cc7oc8ccc9ccoc9c8c17)-n1c7ccccc7c7cc(c(c(c71)B56)N34)O2,49
MR_Gen_141,O=S1(=O)c2cc3occc3cc2N2c3cccc4c3B3c5c2c1cc1c5-n2c5c6c(ccc5c5ccc(c3c52)N4c2ccccc2)-c2ccccc2B16,53
MR_Gen_142,c1ccc(B2c3ccccc3N3c4ccccc4B4c5ccccc5N5c6cccc7c6B6c8c-7cccc8-c7c2c3c4c5c76)cc1,47
MR_Gen_143,c1ccc2c(c1)Oc1cc3c4c5c1N2c1ccc2oc6ccccc6c2c1B5c1ccccc1N4c1cccc2c1B3c1ccccc1-2,48
MR_Gen_144,O=S1(=O)c2cc3c4c5c2-n2c6c7c(ccc6c6c8c(cc1c62)oc1occc18)-c1cccc(c1B57)N4c1cccc2c1B3c1ccccc1-2,49
MR_Gen_145,c1ccc2c(c1)B(c1ccc3occc3c1)c1cccc3c1N2c1cc2c4c5c1B3c1cccc3c6ccc7c(c6n-5c13)B4c1c-2cccc1-7,50
MR_Gen_146,c1ccc(N2c3cccc4c3B3c5c(cccc5N(c5ccccc5)c5cccc2c53)B4c2cccc3ccccc23)cc1,44
MR_Gen_147,c1cc2c3c(c1)B1c4cc5c(cc4-n4c6c1c1c(cc6c6c7ccccc7c7c(oc8ccc9ccoc9c87)c64)c4cccc(c4n1-3)[Se]2)oc1ncccc15,55
MR_Gen_148,O=S1(=O)c2cc3occc3cc2N2c3cccc4c3B3c5c-4cccc5N4c5cccc6c5B5c7c-6cccc7N(c6ccccc6)c6c5c4c3c2c61,53
MR_Gen_149,c1cc2c3c4c(cc2o1)Sc1c2c5c(c6ccoc16)-c1ccc6c7ncc8c9c7n7c6c1B5c1c(c(c5c(c1-7)B9c1c-8cncc1-5)O3)N42,48
